title,genre,country,production_company,runtime,release_date,overview,tagline,budget,revenue,popularity,vote_average,vote_count,poster_path,tmdb_id,imdb_id
The Lord of the Rings: The Return of the King,Adventure,New Zealand,WingNut Films,201,12/1/03,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",The eye of the enemy is moving.,94000000,1118888979,29.324358,8.1,8226,/uexxR7Kw1qYbZk0RYaF9Rx5ykbj.jpg,122,tt0167260
King Kong,Adventure,New Zealand,WingNut Films,187,12/14/05,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",The eighth wonder of the world.,207000000,550000000,19.761164,6.6,2403,/iQYMVoI9QE2wQCOSrxhiBYd4v0w.jpg,254,tt0360717
Pearl Harbor,History,United States of America,Jerry Bruckheimer Films,183,5/21/01,"The lifelong friendship between Rafe McCawley and Danny Walker is put to the ultimate test when the two ace fighter pilots become entangled in a love triangle with beautiful Naval nurse Evelyn Johnson. But the rivalry between the friends-turned-foes is immediately put on hold when they find themselves at the center of Japan's devastating attack on Pearl Harbor on Dec. 7, 1941.",It takes a moment to change history. It takes love to change lives.,140000000,449220945,11.419388,6.6,1833,/gzjMpcyV1RksWonaA87DZ8wQTH0.jpg,676,tt0213149
The Wolf of Wall Street,Crime,United States of America,Paramount Pictures,180,12/25/13,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",EARN. SPEND. PARTY.,100000000,392000694,16.382422,7.9,6768,/vK1o5rZGqxyovfIhZyMELhk03wO.jpg,106646,tt0993846
INLAND EMPIRE,Horror,Poland,Asymmetrical Productions,180,9/6/06,An actress's perception of reality becomes increasingly distorted as she finds herself falling for her co-star in a remake of an unfinished Polish production that was supposedly cursed.,A woman in trouble,0,849055,6.610774,7.1,249,/xQKF94NvqsHCuGUjgvJ5Etgnryu.jpg,1730,tt0460829
The Lord of the Rings: The Two Towers,Adventure,New Zealand,WingNut Films,179,12/18/02,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",A New Power Is Rising.,79000000,926287400,29.423537,8,7641,/wf3v0Pn09jnT5HSaYal7Ami3bdA.jpg,121,tt0167261
The Lord of the Rings: The Fellowship of the Ring,Adventure,New Zealand,WingNut Films,178,12/18/01,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",One ring to rule them all,93000000,871368364,32.070725,8,8892,/bxVxZb5O9OxCO0oRUNdCnpy9NST.jpg,120,tt0120737
Alexander,War,France,France 3 Cinma,175,11/21/04,"Alexander, the King of Macedonia, leads his legions against the giant Persian Empire. After defeating the Persians, he leads his army across the then known world, venturing farther than any westerner had ever gone, all the way to India.",The greatest legend of all was real.,155000000,167298192,13.498641,5.6,957,/cJrnmbsFm5cEt0pHZZ2a1ueH5aT.jpg,1966,tt0346491
Cloud Atlas,Drama,Germany,Anarchos Productions,172,10/26/12,"A set of six nested stories spanning time between the 19th century and a distant post-apocalyptic future. Cloud Atlas explores how the actions and consequences of individual lives impact one another throughout the past, the present and the future. Action, mystery and romance weave through the story as one soul is shaped from a killer into a hero and a single act of kindness ripples across centuries to inspire a revolution in the distant future.  Based on the award winning novel by David Mitchell. Directed by Tom Tykwer and the Wachowskis.",Everything is Connected,102000000,130482868,13.494246,6.6,3031,/8VNiyIp67ZxhpNgdrwACW0jgvP2.jpg,83542,tt1371111
The Aviator,Drama,United States of America,Miramax Films,170,12/17/04,"A biopic depicting the life of filmmaker and aviation pioneer Howard Hughes from 1927 to 1947, during which time he became a successful film producer and an aviation magnate, while simultaneously growing more unstable due to severe obsessive-compulsive disorder.","For some men, the sky was the limit. For him, it was just the beginning.",116000000,102000000,9.86738,7,1526,/3MKBQgIHI5DPVNvryiTesskS5mf.jpg,2567,tt0338751
Interstellar,Adventure,Canada,Paramount Pictures,169,11/5/14,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,Mankind was born on Earth. It was never meant to die here.,165000000,675120017,32.213481,8.1,11187,/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg,157336,tt0816692
Pirates of the Caribbean: At World's End,Adventure,United States of America,Walt Disney Pictures,169,5/19/07,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","At the end of the world, the adventure begins.",300000000,961000000,31.363664,6.9,4627,/bXb00CkHqx7TPchTGG131sWV59y.jpg,285,tt0449088
The Hobbit: An Unexpected Journey,Adventure,New Zealand,WingNut Films,169,11/26/12,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",From the smallest beginnings come the greatest legends.,250000000,1021103568,23.253089,7,8427,/ysX7vDmSh5O19vFjAi56WL7l4nk.jpg,49051,tt0903624
The Hateful Eight,Crime,United States of America,Double Feature Films,167,12/25/15,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,No one comes up here without a damn good reason.,44000000,155760117,20.328822,7.6,4405,/fqe8JxDNO8B8QfOGTdjh6sPCdSC.jpg,273248,tt3460252
Gangs of New York,Drama,United States of America,Miramax Films,167,12/14/02,"It's 1863. America was born in the streets. Amsterdam Vallon returns to the Five Points of America to seek vengeance against the psychotic gangland kingpin, Bill the Butcher, who murdered his father years earlier. With an eager pickpocket by his side and a whole new army, Vallon fights his way to seek vengeance on the Butcher and restore peace in the area.",America was born in the streets.,100000000,193772504,14.922399,7.1,1964,/ytKo2tLvKUd9Kbs0poXSQh6ft7d.jpg,3131,tt0217505
The Good Shepherd,Drama,United States of America,Universal Pictures,167,12/11/06,"Edward Wilson, the only witness to his father's suicide and member of the Skull and Bones Society while a student at Yale, is a morally upright young man who values honor and discretion, qualities that help him to be recruited for a career in the newly founded OSS. His dedication to his work does not come without a price though, leading him to sacrifice his ideals and eventually his family.",The untold story of the most powerful covert agency in the world.,85000000,59908565,11.057536,6.3,342,/s2RYkRXrjUIyOlmzym37kpLTKRz.jpg,1247,tt0343737
The Curious Case of Benjamin Button,Fantasy,United States of America,Paramount Pictures,166,11/24/08,"Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.","Life isn't measured in minutes, but in moments.",150000000,333932083,17.934821,7.3,3398,/4O4INOPtWTfHq3dd5vYTPV0TCwa.jpg,4922,tt0421715
The Dark Knight Rises,Action,United States of America,Legendary Pictures,165,7/16/12,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",The Legend Ends,250000000,1084939099,20.58258,7.6,9263,/dEYnvnUfXrqvqeRSqvIEtmzhoA8.jpg,49026,tt1345836
Django Unchained,Drama,United States of America,Columbia Pictures,165,12/25/12,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","Life, liberty and the pursuit of vengeance.",100000000,425368238,19.785025,7.8,10297,/5WJnxuw41sddupf8cwOxYftuvJG.jpg,68718,tt1853728
Transformers: Age of Extinction,Science Fiction,United States of America,Paramount Pictures,165,6/25/14,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",This is not war. It's extinction.,210000000,1091405097,18.495599,5.8,3136,/ykIZB9dYBIKV13k5igGFncT5th6.jpg,91314,tt2109248
Australia,Drama,Australia,Bazmark Films,165,11/18/08,"Set in northern Australia before World War II, an English aristocrat who inherits a sprawling ranch reluctantly pacts with a stock-man in order to protect her new property from a takeover plot. As the pair drive 2,000 head of cattle over unforgiving landscape, they experience the bombing of Darwin, Australia, by Japanese forces firsthand.",Welcome to Australia!,130000000,49554002,9.566135,6.3,712,/lgnwsUpqmEz40guXX92ACETptpB.jpg,6972,tt0455824
Munich,Drama,Canada,DreamWorks SKG,164,12/22/05,"During the 1972 Olympic Games in Munich, eleven Israeli athletes are taken hostage and murdered by a Palestinian terrorist group known as Black September. In retaliation, the Israeli government recruits a group of Mossad agents to track down and execute those responsible for the attack.",The world was watching in 1972 as 11 Israeli athletes were murdered at the Munich Olympics. This is the story of what happened next.,70000000,130358911,9.668761,7,706,/3pnsX1egUElYvgmAcCqYvXVOY9O.jpg,612,tt0408306
Boyhood,Drama,United States of America,IFC Films,164,6/5/14,"The film tells a story of a divorced couple trying to raise their young son. The story follows the boy for twelve years, from first grade at age 6 through 12th grade at age 17-18, and examines his relationship with his parents as he grows.",12 years in the making.,4000000,44349000,6.430591,7.5,2008,/eKi4e5zXhQKs0De4xu5AAMvu376.jpg,85350,tt1065073
Watchmen,Action,United States of America,Paramount Pictures,163,3/5/09,"In a gritty and alternate 1985 the glory days of costumed vigilantes have been brought to a close by a government crackdown, but after one of the masked veterans is brutally murdered, an investigation into the killer is initiated. The reunited heroes set out to prevent their own destruction, but in doing so uncover a sinister plot that puts all of humanity in grave danger.",Justice is coming to all of us.  No matter what we do.,130000000,185258983,16.551503,7,2892,/1QqwJBv5a6ddgzaT6cLytJioyrJ.jpg,13183,tt0409459
Troy,Adventure,United States of America,Plan B Entertainment,163,5/13/04,"In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnom to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans.",For passion. For honor. For destiny. For victory. For love.,175000000,497409852,15.387275,6.9,2841,/edMlij7nw2NMla32xskDnzMCFBM.jpg,652,tt0332452
Avatar,Action,United States of America,Ingenious Film Partners,162,12/10/09,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Enter the World of Pandora.,237000000,2787965087,185.070892,7.2,12114,/kmcqlZGaSh20zpTbuoF0Cdn07dT.jpg,19995,tt0499549
American Honey,Drama,United Kingdom,British Film Institute (BFI),162,9/30/16,"A teenage girl with nothing to lose joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits.",,0,1751330,7.78179,6.5,213,/qV2t4Eu6nMbhf6frWYnVXPqKJYT.jpg,340485,tt3721936
Harry Potter and the Chamber of Secrets,Adventure,Germany,1492 Pictures,161,11/13/02,"Ignoring threats to his life, Harry returns to Hogwarts to investigate – aided by Ron and Hermione – a mysterious series of attacks.",Hogwarts is back in session.,100000000,876688482,29.741452,7.4,5966,/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,672,tt0295297
The Hobbit: The Desolation of Smaug,Adventure,New Zealand,WingNut Films,161,12/11/13,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",Beyond darkness... beyond desolation... lies the greatest danger of all.,250000000,958400000,20.644776,7.6,4633,/gQCiuxGsfiXH1su6lp9n0nd0UeH.jpg,57158,tt1170358
